file_path,file_type,inspected_yes_no,skip_reason,feature_area,risk_level_low_medium_high,notes
.env,config,yes,,general,high,Values masked; only variable names reviewed.
.eslintrc.json,json,yes,,general,low,
.gitignore,config,no,unknown or non-text file type,general,low,
.vscode/settings.json,json,yes,,general,low,
README.md,md,yes,,general,low,
desktop.ini,ini,no,Windows metadata file,general,low,
expanded-folders.txt,txt,yes,,general,low,
next-env.d.ts,ts,yes,,general,low,
next.config.js,js,yes,,general,low,
package-lock.json,json,no,lockfile internals skipped; dependency versions summarized from package.json,general,low,
package.json,package_config,yes,,general,low,
postcss.config.js,js,yes,,general,low,
prisma/schema.prisma,schema,yes,,general,high,
prisma/seed-config.json,json,yes,,general,low,
prisma/seed.ts,ts,yes,,general,low,
project-folders.txt,txt,yes,,general,low,
public/assets/README.md,md,yes,,assets_uploads,low,
public/assets/branding/boilabin-logo-full.png,png,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/branding/boilabin-logo-horizontal.png,png,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/branding/boilabin-logo-mark.png,png,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/branding/boilabin-logo-wordmark.png,png,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/branding/icons/app-icon-512.png,png,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/branding/icons/apple-touch-icon.png,png,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/branding/icons/favicon-32x32.png,png,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/branding/readme-storefront-preview.png,png,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/categories/baby-kids.jpg,jpg,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/categories/beauty-health.jpg,jpg,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/categories/books-stationery.jpg,jpg,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/categories/electronics.jpg,jpg,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/categories/fashion.jpg,jpg,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/categories/gaming.jpg,jpg,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/categories/home-appliances.jpg,jpg,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/categories/sports-fitness.jpg,jpg,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/payments/bkash.svg,svg,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/payments/cod.svg,svg,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/payments/mastercard.svg,svg,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/payments/nagad.svg,svg,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/payments/visa.svg,svg,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
public/assets/readme/storefront-preview.png,png,no,binary/static asset cataloged but not source-reviewed,assets_uploads,low,
